Keuwl Accelerometer Data File
2019-06-26 16-16-02

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
3.1904299,5.940014,7.850587,0.204704,9.846695,88.808784,52.887646
3.2002039,5.929241,7.779958,0.226252,9.784418,88.674988,52.688351
3.2103958,5.913678,7.747637,0.284910,9.750828,88.325630,52.645943
3.2200150,5.887342,7.726089,0.332794,9.719259,88.037773,52.692310
3.2300808,5.871779,7.742848,0.324414,9.722898,88.087914,52.825184
3.2401929,5.895722,7.793127,0.305261,9.776786,88.210762,52.891460
3.2509389,5.907693,7.813477,0.254982,9.798790,88.508888,52.907436
3.2609479,5.863400,7.820660,0.205901,9.776736,88.793243,53.139927
3.2700820,5.838261,7.862558,0.159214,9.794410,89.068581,53.404652
3.2803919,5.851429,7.914034,0.094571,9.842769,89.449486,53.521751
3.2899618,5.844246,7.937976,0.051475,9.857450,89.700798,53.638054
3.3012018,5.808333,7.948750,0.044293,9.844863,89.742218,53.843544
3.3112471,5.840655,7.947553,0.090980,9.863322,89.471497,53.687840
3.3201830,5.893328,7.941567,0.167594,9.890799,89.029106,53.421398
3.3302300,5.928043,7.928399,0.246603,9.902627,88.573029,53.214630
3.3402109,5.948394,7.916428,0.312443,9.907111,88.192749,53.078846
3.3510079,5.967548,7.909245,0.313640,9.912930,88.186890,52.965343
3.3602889,5.965154,7.858967,0.294487,9.870823,88.290382,52.800591
3.3705649,5.904101,7.799112,0.280122,9.785858,88.359673,52.873466
3.3805287,5.871779,7.819463,0.278924,9.782617,88.366150,53.096436
3.3901758,5.858612,7.873333,0.264559,9.817469,88.455818,53.346760
3.4006131,5.834670,7.945158,0.231040,9.860137,88.657333,53.707634
3.4109299,5.840655,8.022970,0.171185,9.925251,89.011742,53.945698
3.4205499,5.877765,8.019379,0.108936,9.943360,89.372276,53.760624
3.4303601,5.845443,7.935582,0.098162,9.856586,89.429382,53.624203
3.4400928,5.792771,7.860164,0.152032,9.765321,89.107956,53.610588
3.4501250,5.793968,7.820660,0.214281,9.735435,88.738792,53.466949
3.4601500,5.829881,7.824251,0.299275,9.761967,88.243195,53.310055
3.4710751,5.862203,7.909245,0.347159,9.850995,87.980423,53.454765
3.4810438,5.917270,8.006210,0.322020,9.960782,88.147377,53.532448
3.4911289,5.957971,8.091205,0.225055,10.050654,88.716919,53.633869
3.5002291,5.936423,8.093599,0.141258,10.038298,89.193710,53.741020
3.5104959,5.878962,8.039729,0.140061,9.960876,89.194336,53.824280
3.5202827,5.846641,7.960721,0.187945,9.878846,88.909882,53.705097
3.5304399,5.841852,7.872135,0.252588,9.806200,88.524010,53.421169
3.5403597,5.843049,7.815871,0.330400,9.764130,88.060844,53.218662
3.5507498,5.826290,7.814674,0.271742,9.751340,88.403122,53.293350
3.5608120,5.828684,7.861362,0.219069,9.788899,88.717651,53.445492
